"go_gc_duration_seconds","app","mysql","A summary of the GC invocation durations.","summary"
"go_goroutines","app","mysql","Number of goroutines that currently exist.","gauge"
"go_memstats_alloc_bytes","app","mysql","Number of bytes allocated and still in use.","gauge"
"go_memstats_alloc_bytes_total","app","mysql","Total number of bytes allocated, even if freed.","counter"
"go_memstats_buck_hash_sys_bytes","app","mysql","Number of bytes used by the profiling bucket hash table.","gauge"
"go_memstats_frees_total","app","mysql","Total number of frees.","counter"
"go_memstats_gc_sys_bytes","app","mysql","Number of bytes used for garbage collection system metadata.","gauge"
"go_memstats_heap_alloc_bytes","app","mysql","Number of heap bytes allocated and still in use.","gauge"
"go_memstats_heap_idle_bytes","app","mysql","Number of heap bytes waiting to be used.","gauge"
"go_memstats_heap_inuse_bytes","app","mysql","Number of heap bytes that are in use.","gauge"
"go_memstats_heap_objects","app","mysql","Number of allocated objects.","gauge"
"go_memstats_heap_released_bytes_total","app","mysql","Total number of heap bytes released to OS.","counter"
"go_memstats_heap_sys_bytes","app","mysql","Number of heap bytes obtained from system.","gauge"
"go_memstats_last_gc_time_seconds","app","mysql","Number of seconds since 1970 of last garbage collection.","gauge"
"go_memstats_lookups_total","app","mysql","Total number of pointer lookups.","counter"
"go_memstats_mallocs_total","app","mysql","Total number of mallocs.","counter"
"go_memstats_mcache_inuse_bytes","app","mysql","Number of bytes in use by mcache structures.","gauge"
"go_memstats_mcache_sys_bytes","app","mysql","Number of bytes used for mcache structures obtained from system.","gauge"
"go_memstats_mspan_inuse_bytes","app","mysql","Number of bytes in use by mspan structures.","gauge"
"go_memstats_mspan_sys_bytes","app","mysql","Number of bytes used for mspan structures obtained from system.","gauge"
"go_memstats_next_gc_bytes","app","mysql","Number of heap bytes when next garbage collection will take place.","gauge"
"go_memstats_other_sys_bytes","app","mysql","Number of bytes used for other system allocations.","gauge"
"go_memstats_stack_inuse_bytes","app","mysql","Number of bytes in use by the stack allocator.","gauge"
