"go_gc_duration_seconds","app","redis","No documentation","Type not found"
"go_goroutines","app","redis","No documentation","Type not found"
"go_memstats_alloc_bytes","app","redis","No documentation","Type not found"
"go_memstats_alloc_bytes_total","app","redis","No documentation","Type not found"
"go_memstats_buck_hash_sys_bytes","app","redis","No documentation","Type not found"
"go_memstats_frees_total","app","redis","No documentation","Type not found"
"go_memstats_gc_sys_bytes","app","redis","No documentation","Type not found"
"go_memstats_heap_alloc_bytes","app","redis","No documentation","Type not found"
"go_memstats_heap_idle_bytes","app","redis","No documentation","Type not found"
"go_memstats_heap_inuse_bytes","app","redis","No documentation","Type not found"
"go_memstats_heap_objects","app","redis","No documentation","Type not found"
"go_memstats_heap_released_bytes_total","app","redis","No documentation","Type not found"
"go_memstats_heap_sys_bytes","app","redis","No documentation","Type not found"
"go_memstats_last_gc_time_seconds","app","redis","No documentation","Type not found"
"go_memstats_lookups_total","app","redis","No documentation","Type not found"
"go_memstats_mallocs_total","app","redis","No documentation","Type not found"
"go_memstats_mcache_inuse_bytes","app","redis","No documentation","Type not found"
"go_memstats_mcache_sys_bytes","app","redis","No documentation","Type not found"
"go_memstats_mspan_inuse_bytes","app","redis","No documentation","Type not found"
"go_memstats_mspan_sys_bytes","app","redis","No documentation","Type not found"
"go_memstats_next_gc_bytes","app","redis","No documentation","Type not found"
"go_memstats_other_sys_bytes","app","redis","No documentation","Type not found"
"go_memstats_stack_inuse_bytes","app","redis","No documentation","Type not found"
"go_memstats_stack_sys_bytes","app","redis","No documentation","Type not found"
"go_memstats_sys_bytes","app","redis","No documentation","Type not found"
"http_request_duration_microseconds","app","redis","No documentation","Type not found"
"http_request_size_bytes","app","redis","No documentation","Type not found"
"http_requests_total","app","redis","No documentation","Type not found"
"http_response_size_bytes","app","redis","No documentation","Type not found"
"process_cpu_seconds_total","app","redis","No documentation","Type not found"
"process_max_fds","app","redis","No documentation","Type not found"
"process_open_fds","app","redis","No documentation","Type not found"
"process_resident_memory_bytes","app","redis","No documentation","Type not found"
"process_start_time_seconds","app","redis","No documentation","Type not found"
"process_virtual_memory_bytes","app","redis","No documentation","Type not found"
"redis_aof_current_rewrite_duration_sec","app","redis","No documentation","Type not found"
"redis_aof_enabled","app","redis","No documentation","Type not found"
"redis_aof_last_rewrite_duration_sec","app","redis","No documentation","Type not found"
"redis_aof_rewrite_in_progress","app","redis","No documentation","Type not found"
"redis_aof_rewrite_scheduled","app","redis","No documentation","Type not found"
"redis_blocked_clients","app","redis","No documentation","Type not found"
"redis_cluster_enabled","app","redis","No documentation","Type not found"
"redis_command_call_duration_seconds_count","app","redis","No documentation","Type not found"
"redis_command_call_duration_seconds_sum","app","redis","No documentation","Type not found"
"redis_commands_processed_total","app","redis","No documentation","Type not found"
"redis_config_maxmemory","app","redis","No documentation","Type not found"
"redis_connected_clients","app","redis","No documentation","Type not found"
"redis_connected_slaves","app","redis","No documentation","Type not found"
"redis_connections_received_total","app","redis","No documentation","Type not found"
"redis_evicted_keys_total","app","redis","No documentation","Type not found"
"redis_expired_keys_total","app","redis","No documentation","Type not found"
"redis_exporter_build_info","app","redis","No documentation","Type not found"
"redis_exporter_last_scrape_duration_seconds","app","redis","No documentation","Type not found"
"redis_exporter_last_scrape_error","app","redis","No documentation","Type not found"
"redis_exporter_scrapes_total","app","redis","No documentation","Type not found"
"redis_key_size","app","redis","No documentation","Type not found"
"redis_keyspace_hits_total","app","redis","No documentation","Type not found"
"redis_keyspace_misses_total","app","redis","No documentation","Type not found"
"redis_loading_dump_file","app","redis","No documentation","Type not found"
"redis_memory_fragmentation_ratio","app","redis","No documentation","Type not found"
"redis_memory_used_bytes","app","redis","No documentation","Type not found"
"redis_memory_used_lua_bytes","app","redis","No documentation","Type not found"
"redis_memory_used_peak_bytes","app","redis","No documentation","Type not found"
"redis_memory_used_rss_bytes","app","redis","No documentation","Type not found"
"redis_net_input_bytes_total","app","redis","No documentation","Type not found"
"redis_net_output_bytes_total","app","redis","No documentation","Type not found"
"redis_pubsub_channels","app","redis","No documentation","Type not found"
"redis_pubsub_patterns","app","redis","No documentation","Type not found"
"redis_rdb_changes_since_last_save","app","redis","No documentation","Type not found"
"redis_rdb_current_bgsave_duration_sec","app","redis","No documentation","Type not found"
"redis_rdb_last_bgsave_duration_sec","app","redis","No documentation","Type not found"
"redis_rejected_connections_total","app","redis","No documentation","Type not found"
"redis_replication_backlog_bytes","app","redis","No documentation","Type not found"
"redis_uptime_in_seconds","app","redis","No documentation","Type not found"
"redis_used_cpu_sys","app","redis","No documentation","Type not found"
"redis_used_cpu_sys_children","app","redis","No documentation","Type not found"
"redis_used_cpu_user","app","redis","No documentation","Type not found"
"redis_used_cpu_user_children","app","redis","No documentation","Type not found"
